session_id,problem_type,session_duration,engineer_experience,client_satisfaction,solution_provided
1001,classification,55,3,4.2,1
1002,regression,48,5,4.7,1
1003,nlp,62,2,3.9,1
1004,computer_vision,45,7,4.8,1
1005,clustering,65,1,3.5,0
1006,classification,52,4,4.5,1
1007,regression,50,6,4.3,1
1008,nlp,58,2,4.0,1
1009,computer_vision,47,8,4.7,1
1010,clustering,60,3,3.8,0
1011,classification,53,5,4.6,1
1012,regression,68,1,3.2,0
1013,nlp,51,4,4.7,1
1014,computer_vision,49,6,4.4,1
1015,clustering,63,2,3.7,0
1016,classification,44,9,5.0,1
1017,regression,57,3,4.1,1
1018,nlp,54,4,4.0,1
1019,computer_vision,46,7,4.8,1
1020,clustering,61,2,3.8,0
