session_id,engineer_experience_years,session_duration_minutes,pre_session_complexity_rating,techniques_used,code_examples_provided,questions_answered,resources_shared,client_satisfaction_score
1001,3,58,7,4,12,8,3,8.2
1002,5,62,8,6,15,12,5,9.1
1003,1,55,5,2,8,5,2,6.8
1004,7,60,9,8,20,15,7,9.5
1005,2,50,4,3,6,4,1,7.0
1006,4,59,6,5,10,9,4,8.5
1007,6,63,8,7,18,14,6,9.3
1008,2,56,5,3,9,6,2,7.4
1009,5,61,7,6,14,10,5,8.9
1010,3,57,6,4,11,7,3,8.0
1011,8,65,9,9,22,16,8,9.7
1012,1,52,4,2,7,3,1,6.5
1013,4,60,7,5,13,8,4,8.4
1014,7,64,8,8,19,15,7,9.4
1015,2,54,5,3,8,5,2,7.2
1016,5,62,7,6,15,11,5,9.0
1017,3,58,6,4,10,8,3,8.3
1018,6,63,8,7,17,13,6,9.2
1019,1,51,4,2,6,4,1,6.3
1020,4,59,7,5,12,9,4,8.6
