problem_complexity,solution_time,code_lines,resources_used,engineer_expertise,specialist_consultation,pricing_tier
7.2,42,156,4,8.5,0,1
3.5,18,45,1,5.2,0,0
8.9,55,210,6,9.1,1,2
6.1,38,132,3,7.4,0,1
9.3,58,245,7,9.5,1,2
2.8,15,30,1,4.8,0,0
5.7,35,118,3,7.0,0,1
8.5,52,198,5,8.8,1,2
4.2,22,65,2,6.1,0,0
9.0,57,225,6,9.2,1,2
3.1,17,38,1,5.0,0,0
6.8,40,145,4,7.8,0,1
8.2,50,185,5,8.6,1,2
5.3,32,105,3,6.8,0,1
9.5,60,255,7,9.6,1,2
2.5,12,25,1,4.5,0,0
7.5,45,165,4,8.2,0,1
8.7,53,205,6,9.0,1,2
4.8,28,80,2,6.5,0,0
9.2,59,235,7,9.4,1,2
3.8,20,52,1,5.5,0,0
6.5,39,140,3,7.6,0,1
8.0,48,180,5,8.5,1,2
5.0,30,95,2,6.7,0,1
9.6,60,260,7,9.8,1,2
3.3,19,48,1,5.3,0,0
7.0,43,150,4,8.0,0,1
8.3,51,190,5,8.7,1,2
4.5,25,75,2,6.3,0,0
9.4,59,240,7,9.5,1,2
