engineer_id,years_experience,ml_score,nlp_score,cv_score,coding_score,math_score,domain_knowledge,communication_score,specialization
1,3,4,5,2,4,4,healthcare,3,nlp
2,5,5,2,3,5,5,finance,4,ml
3,2,3,4,5,3,3,retail,4,cv
4,7,5,3,2,5,4,finance,3,ml
5,1,2,5,3,3,3,healthcare,5,nlp
6,4,4,3,5,4,3,manufacturing,2,cv
7,6,5,2,3,5,5,insurance,3,ml
8,2,3,5,2,3,4,education,5,nlp
9,4,2,3,5,4,3,automotive,3,cv
10,3,5,3,2,4,5,banking,4,ml
11,2,2,4,3,3,3,healthcare,5,nlp
12,5,3,2,5,4,3,retail,2,cv
13,4,5,3,2,5,4,finance,3,ml
14,1,2,5,3,2,3,media,4,nlp
15,3,2,3,5,4,2,gaming,3,cv
