session_id,timestamp,problem_type,complexity,question_type,engineer_response_time,client_response_time,session_duration
2001,0,nlp,medium,requirement,15,30,45
2001,1,nlp,medium,clarification,10,25,45
2001,2,nlp,medium,implementation,20,30,45
2002,0,image_processing,high,requirement,12,35,58
2002,1,image_processing,high,clarification,18,20,58
2002,2,image_processing,high,data_request,15,25,58
2002,3,image_processing,high,implementation,25,30,58
2003,0,recommendation,low,requirement,8,15,27
2003,1,recommendation,low,implementation,12,20,27
2004,0,forecasting,medium,requirement,14,25,52
2004,1,forecasting,medium,clarification,10,18,52
2004,2,forecasting,medium,data_request,18,22,52
2004,3,forecasting,medium,implementation,20,25,52
2005,0,nlp,high,requirement,16,30,62
2005,1,nlp,high,clarification,12,25,62
2005,2,nlp,high,data_request,20,30,62
2005,3,nlp,high,implementation,25,35,62
2006,0,image_processing,low,requirement,10,20,35
2006,1,image_processing,low,implementation,15,25,35
2007,0,recommendation,medium,requirement,14,28,49
2007,1,recommendation,medium,clarification,12,22,49
2007,2,recommendation,medium,implementation,18,26,49
2008,0,forecasting,high,requirement,15,32,60
2008,1,forecasting,high,clarification,12,28,60
2008,2,forecasting,high,data_request,22,30,60
2008,3,forecasting,high,implementation,25,35,60
